ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
"Rio dos Índios",4315552,-27.297300000000,-52.841700000000,2.568,3.527,4.275,4.540,7.785,7.089,5.475,7.827,9.959,10.418,10.033,13.126,14.349
"Rio Grande",4315602,-32.034900000000,-52.107100000000,8.590,9.870,11.554,13.389,15.463,16.970,15.432,17.656,22.856,32.225,32.457,39.434,41.376
"Rio Pardo",4315701,-29.988000000000,-52.371099999990,4.343,4.624,5.999,6.318,7.549,7.899,7.529,9.094,9.272,11.021,12.177,14.018,14.678
Riozinho,4315750,-29.638999999990,-50.448799999990,4.833,5.626,6.095,6.799,7.673,8.736,8.816,9.366,10.533,10.500,12.883,14.956,15.001
"Roca Sales",4315800,-29.288399999990,-51.865800000000,8.477,10.057,11.114,11.535,14.704,17.358,16.684,19.372,23.197,21.087,21.210,25.743,25.559
"Rodeio Bonito",4315909,-27.474200000000,-53.170600000000,4.060,4.346,4.638,5.102,7.188,6.842,6.946,8.210,9.701,10.285,10.665,13.099,15.079
Rolador,4315958,-28.257670000000,-54.818640000000,-,-,5.676,5.678,10.831,6.908,6.626,9.424,12.773,15.016,13.877,17.878,21.565
Rolante,4316006,-29.646200000000,-50.581899999990,4.982,5.590,5.026,5.344,5.831,6.436,6.985,7.779,9.315,9.447,10.967,13.662,15.090
"Ronda Alta",4316105,-27.775800000000,-52.805599999990,4.743,5.489,6.175,7.440,11.436,9.180,7.551,11.229,12.682,13.635,14.648,15.386,16.511
Rondinha,4316204,-27.831499999990,-52.908099999990,3.925,4.947,5.524,7.125,9.445,9.238,8.980,11.907,13.913,15.651,14.454,16.256,17.619
"Roque Gonzales",4316303,-28.129700000000,-55.026600000000,3.899,4.199,5.348,5.790,8.335,7.068,7.616,8.760,10.368,11.535,11.619,14.139,15.123
"Rosário do Sul",4316402,-30.251500000000,-54.922100000000,3.858,4.091,4.888,5.530,6.520,7.316,6.833,7.571,9.027,11.617,12.625,14.972,17.084
"Sagrada Família",4316428,-27.708500000000,-53.135100000000,2.826,3.498,3.914,4.300,6.148,5.852,4.949,6.335,8.472,10.348,9.757,11.721,13.154
"Saldanha Marinho",4316436,-28.394100000000,-53.097000000000,6.392,7.218,9.526,9.810,16.799,15.423,10.339,14.228,19.547,21.400,24.526,23.515,27.948
"Salto do Jacuí",4316451,-29.095099999990,-53.213299999990,4.887,5.079,6.376,6.871,9.104,7.767,7.328,10.553,13.615,13.706,14.217,16.641,18.485
"Salvador das Missões",4316477,-28.123300000000,-54.837299999990,5.089,6.364,8.520,9.586,15.306,13.337,11.989,13.100,17.502,19.780,20.505,24.329,26.102
"Salvador do Sul",4316501,-29.438600000000,-51.507700000000,7.311,8.299,10.816,12.683,15.842,16.374,18.489,19.625,19.603,18.204,16.945,25.568,34.254
Sananduva,4316600,-27.946999999990,-51.807899999990,5.311,6.246,7.262,9.047,12.718,12.630,11.793,13.708,16.603,17.585,18.620,20.355,23.808
"Santa Bárbara do Sul",4316709,-28.365300000000,-53.250999999990,8.712,8.838,12.752,13.344,23.676,19.271,11.998,18.182,25.555,27.437,28.780,29.699,36.210
"Santa Cecília do Sul",4316733,-28.153700000000,-51.929600000000,-,-,7.085,7.824,11.609,11.195,7.620,12.508,14.290,18.738,16.303,22.930,34.205
"Santa Clara do Sul",4316758,-29.474699999990,-52.084299999990,8.018,9.214,10.595,11.500,11.562,12.569,11.495,11.564,12.718,13.055,14.339,15.522,17.878
"Santa Cruz do Sul",4316808,-29.722000000000,-52.434300000000,13.283,12.962,15.019,17.584,20.167,24.148,24.160,23.399,25.553,27.755,36.708,39.930,41.474
"Santa Margarida do Sul",4316972,-30.329599999990,-54.082299999990,-,-,9.451,13.270,20.775,19.404,14.056,18.101,26.147,30.473,30.860,38.219,36.300
"Santa Maria",4316907,-29.686800000000,-53.814999999990,5.099,5.365,5.615,6.616,7.459,8.214,8.825,9.812,11.097,11.979,12.998,15.700,16.864
"Santa Maria do Herval",4316956,-29.490200000000,-50.991900000000,6.018,6.211,8.223,9.055,10.119,11.112,11.887,12.328,13.310,13.544,16.435,22.918,20.277
"Santa Rosa",4317202,-27.870200000000,-54.479599999990,6.387,7.397,8.658,9.695,12.356,13.083,11.799,12.311,16.076,18.387,19.362,22.650,23.677
"Santa Tereza",4317251,-29.165500000000,-51.735100000000,4.896,5.763,8.128,10.307,14.813,14.917,15.191,16.031,11.549,11.080,13.125,15.518,17.243
"Santa Vitória do Palmar",4317301,-33.524999999990,-53.371699999990,5.888,5.330,6.099,6.348,8.205,9.887,8.366,8.178,9.661,12.949,13.949,17.201,16.578
"Santana da Boa Vista",4317004,-30.869700000000,-53.109999999990,2.882,3.207,3.865,4.346,5.130,5.450,5.508,6.409,8.334,8.910,9.458,11.185,11.807
"Santana do Livramento",4317103,-30.887699999990,-55.531500000000,4.056,4.318,4.740,5.146,5.265,5.854,6.771,7.183,9.354,10.218,10.503,12.255,12.792
Santiago,4317400,-29.189699999990,-54.866599999990,3.721,3.957,4.594,5.112,5.863,6.299,6.590,7.269,8.632,9.179,9.663,12.175,13.006
"Santo Ângelo",4317509,-28.300100000000,-54.266800000000,4.964,5.203,6.033,6.539,8.177,8.605,8.538,9.602,12.738,14.914,14.706,16.510,17.074
"Santo Antônio da Patrulha",4317608,-29.826799999990,-50.517499999990,4.477,4.490,5.000,5.926,6.983,7.487,7.764,8.252,9.729,11.439,12.538,14.936,15.122
"Santo Antônio das Missões",4317707,-28.513999999990,-55.225099999990,3.558,3.828,5.230,5.260,8.794,7.302,6.818,7.898,11.523,11.765,12.781,16.599,18.132
"Santo Antônio do Palma",4317558,-28.495600000000,-52.026699999990,5.390,5.961,6.899,7.382,8.583,8.286,7.556,10.489,13.072,15.791,15.149,18.578,23.913
"Santo Antônio do Planalto",4317756,-28.403099999990,-52.699199999990,7.872,10.259,12.223,14.854,20.670,20.398,12.576,20.562,22.729,24.957,20.732,24.547,28.137
"Santo Augusto",4317806,-27.852599999990,-53.777600000000,5.866,6.742,7.647,8.653,13.277,11.589,9.722,10.663,14.841,15.615,16.376,18.219,21.579
"Santo Cristo",4317905,-27.826300000000,-54.661999999990,6.107,7.562,8.810,10.009,12.348,12.220,11.919,14.689,18.136,19.364,18.383,21.096,20.926
"Santo Expedito do Sul",4317954,-27.907399999990,-51.643300000000,3.410,4.055,4.669,5.310,8.256,7.074,5.439,8.305,12.028,15.660,14.576,18.084,19.913
"São Borja",4318002,-28.657800000000,-56.003599999990,4.991,5.097,5.789,6.945,8.712,9.403,10.248,13.147,13.714,15.603,18.621,21.679,21.629
"São Domingos do Sul",4318051,-28.531199999990,-51.886000000000,4.154,4.762,5.056,6.014,6.813,7.137,7.077,8.073,10.227,12.044,11.914,14.626,16.554
"São Francisco de Assis",4318101,-29.554700000000,-55.125300000000,3.328,3.424,4.288,4.776,6.219,5.855,6.157,7.494,9.036,9.537,10.641,12.051,13.153
"São Francisco de Paula",4318200,-29.440400000000,-50.582799999990,4.957,4.956,5.710,6.304,6.905,8.399,9.450,10.383,10.299,11.990,14.357,15.879,15.081
"São Gabriel",4318309,-30.333700000000,-54.321700000000,4.582,4.451,5.239,6.038,7.262,8.011,7.432,8.312,10.537,11.975,13.581,19.619,15.238
"São Jerônimo",4318408,-29.971599999990,-51.725099999990,4.206,4.724,5.627,6.338,7.555,9.070,9.910,11.532,11.764,12.280,13.367,14.795,15.579
"São João da Urtiga",4318424,-27.819500000000,-51.825699999990,3.588,4.125,5.020,5.540,7.617,7.947,7.051,8.509,9.956,11.532,11.018,13.916,16.650
"São João do Polêsine",4318432,-29.619399999990,-53.443899999990,4.402,4.373,5.009,5.821,7.637,7.826,7.248,8.514,9.812,11.630,13.099,14.605,17.106
"São Jorge",4318440,-28.498400000000,-51.706400000000,4.688,4.929,6.566,7.786,9.572,10.280,9.100,11.558,15.260,17.224,17.490,19.050,21.912
"São José das Missões",4318457,-27.778900000000,-53.122599999990,3.259,3.915,4.988,4.294,7.681,6.236,4.797,6.755,7.500,9.267,9.329,15.386,14.858
"São José do Herval",4318465,-29.052000000000,-52.295000000000,3.230,3.419,4.323,4.425,5.395,5.391,5.940,6.885,8.003,8.762,9.445,13.006,16.746
"São José do Hortêncio",4318481,-29.527999999990,-51.245000000000,7.372,8.620,9.582,10.657,11.127,11.429,11.459,12.366,12.052,12.801,15.617,18.188,18.075
"São José do Inhacorá",4318499,-27.725100000000,-54.127499999990,3.704,4.078,4.692,5.729,6.731,7.272,7.039,8.046,10.282,12.968,13.759,17.832,17.739
"São José do Norte",4318507,-32.015099999990,-52.033099999990,2.517,2.792,3.453,3.733,4.444,4.969,5.463,6.131,6.825,7.443,8.213,10.735,10.145
"São José do Ouro",4318606,-27.770700000000,-51.596600000000,4.735,5.638,7.151,7.487,11.096,9.408,8.639,12.120,15.782,16.787,15.527,20.250,22.924
"São José do Sul",4318614,-29.529000000000,-51.487099999990,-,-,4.926,5.505,7.198,8.401,8.486,9.743,11.420,11.607,12.499,15.289,18.902
"São José dos Ausentes",4318622,-28.747599999990,-50.067700000000,6.238,6.056,6.755,8.149,11.534,9.973,14.093,17.841,17.660,18.561,29.581,26.511,20.462
"São Leopoldo",4318705,-29.754500000000,-51.149799999990,6.544,7.202,7.539,8.148,9.334,10.328,10.910,11.250,12.828,14.288,15.759,19.033,19.442
"São Lourenço do Sul",4318804,-31.356400000000,-51.971499999990,3.920,4.027,4.813,5.321,6.222,7.277,7.115,7.914,9.559,10.730,12.234,12.666,13.630
"São Luiz Gonzaga",4318903,-28.411999999990,-54.955900000000,4.209,4.436,5.801,6.491,8.758,7.497,7.644,9.153,12.029,12.934,12.840,15.863,16.860
"São Marcos",4319000,-28.967700000000,-51.069600000000,7.110,7.741,7.949,9.322,9.686,10.467,11.010,11.481,13.541,12.781,15.223,20.111,21.192
"São Martinho",4319109,-27.711200000000,-53.969900000000,3.947,4.628,5.566,6.337,9.596,8.585,8.255,10.300,12.199,13.318,13.360,16.207,18.955
"São Martinho da Serra",4319125,-29.539700000000,-53.859000000000,4.838,4.975,7.607,8.678,13.165,11.675,7.602,13.732,17.553,21.068,18.630,23.710,26.536
"São Miguel das Missões",4319158,-28.556000000000,-54.555900000000,5.286,5.743,8.288,7.149,14.308,9.173,8.285,12.337,21.077,22.086,22.279,27.643,29.085
"São Nicolau",4319208,-28.183399999990,-55.265400000000,2.928,2.977,4.059,4.238,6.224,5.028,5.303,6.330,8.068,9.427,9.295,12.135,13.398
"São Paulo das Missões",4319307,-28.019500000000,-54.940399999990,3.692,4.140,4.882,5.143,6.961,6.852,6.601,8.744,10.062,10.960,11.195,13.647,14.825
"São Pedro da Serra",4319356,-29.419300000000,-51.513399999990,5.676,5.173,4.996,5.300,6.324,7.233,8.411,8.077,10.087,8.011,8.685,10.677,11.907
"São Pedro das Missões",4319364,-27.773219999990,-53.250470000000,-,-,4.054,4.236,6.961,7.452,5.322,8.672,10.571,12.026,10.279,13.799,15.772
"São Pedro do Butiá",4319372,-28.124300000000,-54.892600000000,4.613,5.210,6.444,6.640,11.430,9.500,10.416,12.152,17.404,21.133,20.468,20.373,21.292
"São Pedro do Sul",4319406,-29.620200000000,-54.185499999990,4.030,4.049,4.701,5.486,6.641,7.356,7.323,8.697,9.147,10.155,11.111,13.024,13.636
"São Sebastião do Caí",4319505,-29.588500000000,-51.374899999990,6.869,7.570,8.201,8.890,9.989,11.328,12.737,13.386,15.652,14.657,17.024,19.245,19.622
"São Sepé",4319604,-30.164300000000,-53.560299999990,4.747,4.774,5.799,7.170,9.604,9.872,8.266,9.461,11.380,12.746,14.084,15.459,15.941
"São Valentim",4319703,-27.558299999990,-52.523699999990,3.904,4.284,5.163,5.861,8.575,8.421,7.557,9.549,11.365,12.721,11.506,15.633,16.721
"São Valentim do Sul",4319711,-29.045100000000,-51.768400000000,4.589,4.960,6.475,7.364,10.582,19.287,24.061,27.737,24.364,18.075,14.948,18.678,21.882
"São Valério do Sul",4319737,-27.790600000000,-53.936799999990,3.524,3.823,4.348,4.537,7.568,5.592,4.367,5.440,9.104,9.128,9.381,10.510,12.485
"São Vendelino",4319752,-29.372900000000,-51.367500000000,4.060,4.584,5.563,6.516,7.080,8.541,9.761,10.890,14.008,15.931,15.404,16.501,20.320
"São Vicente do Sul",4319802,-29.688199999990,-54.682600000000,4.522,4.453,5.474,6.094,7.263,8.002,7.427,7.833,10.082,11.079,12.672,14.487,15.284
Sapiranga,4319901,-29.634899999990,-51.006500000000,7.702,7.844,8.226,9.225,9.673,10.567,10.419,10.595,12.046,12.746,14.451,18.005,17.718
"Sapucaia do Sul",4320008,-29.827600000000,-51.145000000000,6.176,7.087,7.436,8.094,9.243,10.777,11.233,10.734,12.884,12.697,14.227,17.190,16.467
Sarandi,4320107,-27.942000000000,-52.923099999990,6.503,7.769,8.597,10.031,13.139,13.624,13.861,15.230,16.673,17.054,17.977,21.611,23.183
Seberi,4320206,-27.482900000000,-53.402600000000,3.431,4.086,4.502,5.406,8.111,7.434,7.227,9.352,11.143,11.730,12.321,15.054,16.842
"Sede Nova",4320230,-27.636700000000,-53.949300000000,4.048,4.980,5.875,6.143,8.876,8.815,8.632,11.868,15.023,15.344,14.572,16.612,19.286
Segredo,4320263,-29.352300000000,-52.976700000000,3.473,3.774,5.342,5.587,6.471,6.807,6.960,8.558,9.109,10.517,11.411,11.741,12.338
Selbach,4320305,-28.629400000000,-52.949800000000,7.176,7.046,9.187,9.919,14.358,13.939,11.241,13.253,16.154,20.442,20.095,23.034,26.413
"Senador Salgado Filho",4320321,-28.025000000000,-54.550699999990,4.894,4.984,6.436,6.970,10.519,9.712,7.692,10.158,13.668,14.006,15.811,18.744,21.466
"Sentinela do Sul",4320354,-30.610700000000,-51.586199999990,5.703,5.695,6.058,6.048,6.153,6.082,5.153,6.416,6.564,9.031,8.757,10.484,10.217
"Serafina Corrêa",4320404,-28.712599999990,-51.935299999990,10.714,11.334,12.324,14.402,16.997,18.086,18.647,18.783,20.373,19.091,22.672,25.755,26.620
Sério,4320453,-29.390400000000,-52.268500000000,3.814,4.721,5.133,5.402,6.726,7.602,6.816,8.552,10.220,10.096,11.013,12.670,16.229
Sertão,4320503,-27.979800000000,-52.258800000000,5.359,5.771,7.817,9.247,13.921,11.450,8.958,13.680,16.718,18.826,17.518,20.041,23.476
"Sertão Santana",4320552,-30.456199999990,-51.601700000000,4.452,4.623,5.816,6.599,9.314,11.490,9.043,11.172,11.197,12.909,15.453,16.669,17.906
"Sete de Setembro",4320578,-28.136199999990,-54.463700000000,3.312,4.084,5.083,4.932,7.782,6.355,6.453,8.838,13.246,11.295,11.152,14.176,16.257
"Severiano de Almeida",4320602,-27.436199999990,-52.121699999990,4.127,4.916,5.522,6.042,8.440,8.326,8.164,9.385,11.855,13.252,12.553,15.671,17.907
"Silveira Martins",4320651,-29.646699999990,-53.591000000000,6.373,5.366,4.979,5.643,6.287,6.398,5.783,6.596,8.272,9.798,11.663,11.761,12.206
Sinimbu,4320677,-29.535699999990,-52.530500000000,5.300,5.115,6.420,7.826,9.539,10.158,9.684,10.501,10.030,10.338,11.440,12.128,13.384
Sobradinho,4320701,-29.419400000000,-53.032600000000,3.623,3.819,4.633,5.484,6.766,7.432,8.134,9.095,10.255,11.055,11.716,14.195,14.302
Soledade,4320800,-28.830600000000,-52.513100000000,3.825,4.111,4.868,5.779,7.144,7.594,7.331,8.103,9.713,9.988,10.672,12.617,15.287
Tabaí,4320859,-29.643000000000,-51.682299999990,3.037,2.764,2.946,5.844,5.361,6.884,5.371,5.525,6.358,6.978,7.957,11.308,12.349
Tapejara,4320909,-28.065200000000,-52.009700000000,6.078,6.888,8.183,10.150,14.539,16.745,16.387,18.506,20.506,20.754,24.538,28.185,29.441
Tapera,4321006,-28.627700000000,-52.861199999990,5.695,6.123,7.930,9.294,12.903,12.948,12.492,15.296,18.237,21.617,22.600,24.927,27.471
Tapes,4321105,-30.668299999990,-51.399099999990,4.751,4.650,5.189,6.047,6.938,7.423,6.703,7.221,8.742,11.895,11.725,13.999,13.807
Taquara,4321204,-29.650500000000,-50.775300000000,4.572,4.718,5.148,5.481,5.817,6.439,7.008,7.164,8.875,9.254,10.281,13.567,13.604
Taquari,4321303,-29.794300000000,-51.865299999990,8.386,8.867,8.486,8.639,10.085,12.730,11.100,11.104,12.663,13.425,13.901,16.009,16.237
"Taquaruçu do Sul",4321329,-27.400400000000,-53.470300000000,4.354,5.522,6.185,6.039,9.251,8.267,8.182,9.423,11.040,11.819,12.146,15.341,14.930
Tavares,4321352,-31.284300000000,-51.088000000000,3.824,3.971,4.669,4.429,5.034,5.737,5.409,6.202,7.425,9.463,11.222,13.583,11.776
"Tenente Portela",4321402,-27.371099999990,-53.758499999990,3.237,3.832,4.430,4.804,6.397,6.225,6.274,7.375,8.959,9.915,10.197,12.264,13.241
"Terra de Areia",4321436,-29.578199999990,-50.064399999990,3.181,3.283,4.245,5.075,6.598,7.413,7.393,7.866,7.658,7.733,8.219,10.194,10.016
Teutônia,4321451,-29.448200000000,-51.804400000000,14.645,16.049,16.877,17.890,18.951,21.482,22.053,23.037,25.434,23.494,22.288,28.197,28.882
"Tio Hugo",4321469,-28.574040000000,-52.594900000000,-,-,8.823,9.745,15.140,13.357,10.372,15.705,17.334,16.541,21.469,20.343,22.693
"Tiradentes do Sul",4321477,-27.402200000000,-54.081400000000,3.282,3.944,4.433,5.055,6.788,6.640,6.601,6.889,8.003,8.343,9.179,11.475,13.027
Toropi,4321493,-29.478200000000,-54.224400000000,3.666,4.390,5.394,5.376,6.636,6.900,6.841,8.100,8.649,9.845,10.695,12.871,13.725
Torres,4321501,-29.333400000000,-49.733300000000,5.157,4.974,5.415,6.276,6.970,7.368,8.037,8.739,10.426,10.908,11.475,13.289,13.849
Tramandaí,4321600,-29.984100000000,-50.132199999990,4.388,4.591,4.894,5.476,6.178,6.515,7.308,7.800,8.466,8.407,8.967,11.217,11.495
Travesseiro,4321626,-29.297699999990,-52.053199999990,5.386,5.813,6.799,7.877,11.736,10.862,11.657,11.814,13.595,13.292,13.909,19.608,21.633
"Três Arroios",4321634,-27.500299999990,-52.144799999990,4.158,4.770,5.278,5.857,8.084,8.026,7.726,8.838,11.599,12.573,11.324,14.796,16.227
"Três Cachoeiras",4321667,-29.448699999990,-49.927500000000,2.954,3.417,3.967,4.394,4.914,5.481,6.187,6.824,7.334,7.127,7.777,12.291,12.505
"Três Coroas",4321709,-29.513700000000,-50.773899999990,7.503,9.208,9.808,9.600,11.068,12.468,13.296,13.144,13.794,13.830,17.006,22.301,21.166
"Três de Maio",4321808,-27.780000000000,-54.235700000000,5.602,6.212,6.893,8.473,10.563,10.273,10.361,12.781,16.234,17.645,17.596,19.136,19.695
"Três Forquilhas",4321832,-29.538399999990,-50.070799999990,2.843,2.993,3.488,3.596,4.423,4.964,5.447,6.114,6.812,6.844,8.580,9.764,10.040
"Três Palmeiras",4321857,-27.613900000000,-52.843699999990,3.816,4.529,5.439,6.035,9.547,8.012,7.244,10.592,11.638,13.276,13.607,15.961,16.689
"Três Passos",4321907,-27.455500000000,-53.929600000000,6.290,7.352,8.682,10.653,12.352,11.489,11.898,12.793,13.827,13.407,14.928,15.876,17.347
"Trindade do Sul",4321956,-27.523900000000,-52.895600000000,3.911,3.995,4.719,4.825,8.104,6.995,6.407,9.996,11.149,11.374,11.434,14.388,15.405
Triunfo,4322004,-29.929099999990,-51.707500000000,76.165,112.436,100.711,123.981,145.769,190.459,197.785,179.847,196.215,215.215,205.579,252.773,227.537
Tucunduva,4322103,-27.657299999990,-54.443899999990,5.290,6.740,7.739,9.626,12.490,11.006,9.745,12.070,15.740,17.384,20.207,21.965,23.362
Tunas,4322152,-29.103899999990,-52.953800000000,2.953,3.291,4.316,4.668,5.823,6.381,5.961,8.054,8.490,10.610,10.795,11.561,12.999
"Tupanci do Sul",4322186,-27.924099999990,-51.538300000000,4.886,5.977,7.835,7.307,10.997,8.790,6.968,11.139,12.025,13.138,12.799,17.224,18.143
Tupanciretã,4322202,-29.085799999990,-53.844499999990,7.050,6.876,9.394,10.888,20.513,14.688,10.340,15.737,20.498,24.159,23.478,23.292,28.803
Tupandi,4322251,-29.477200000000,-51.417400000000,5.708,7.509,9.597,10.802,13.998,15.277,13.815,17.591,20.930,21.320,29.834,37.243,41.548
Tuparendi,4322301,-27.759799999990,-54.481400000000,4.864,5.219,6.162,7.038,10.155,9.450,8.279,10.263,12.987,13.560,15.118,17.458,19.264
Turuçu,4322327,-31.417300000000,-52.170600000000,6.462,8.071,10.346,11.371,12.834,10.981,9.564,9.000,10.082,11.291,11.504,13.604,13.417
Ubiretama,4322343,-28.040400000000,-54.685899999990,4.162,4.240,5.418,6.350,8.180,7.931,7.076,8.642,11.804,12.897,14.624,17.653,17.795
"União da Serra",4322350,-28.783300000000,-52.023800000000,3.990,5.117,7.805,8.471,15.769,15.179,13.613,16.757,16.779,19.311,19.019,25.744,33.436
Unistalda,4322376,-29.039999999990,-55.151699999990,3.588,3.925,5.032,5.256,7.169,6.790,6.429,8.546,11.699,12.088,11.974,14.520,15.141
Uruguaiana,4322400,-29.761399999990,-57.085299999990,5.447,5.530,6.634,7.810,7.909,9.100,12.233,13.364,17.015,18.886,18.134,21.089,21.336
Vacaria,4322509,-28.507899999990,-50.941800000000,5.701,6.184,6.966,7.741,9.257,9.416,9.287,11.221,12.755,13.357,14.329,16.929,18.013
"Vale do Sol",4322533,-29.596699999990,-52.683900000000,4.606,4.579,6.179,6.779,9.255,11.751,10.827,12.792,12.422,12.826,14.939,15.357,17.984
"Vale Real",4322541,-29.391900000000,-51.255899999990,4.466,4.614,5.473,5.982,6.833,7.510,7.692,8.451,9.630,8.842,9.689,11.208,12.217
"Vale Verde",4322525,-29.786400000000,-52.185699999990,3.934,4.313,5.177,7.000,8.823,10.950,8.980,10.698,11.649,12.776,14.402,14.617,14.709
Vanini,4322558,-28.475800000000,-51.844700000000,3.802,4.887,5.333,6.351,9.213,7.972,8.140,10.105,11.987,12.732,12.948,15.649,18.645
"Venâncio Aires",4322608,-29.614300000000,-52.193199999990,8.235,8.781,9.879,11.841,13.370,14.673,14.623,16.365,17.101,19.098,25.001,27.091,29.996
"Vera Cruz",4322707,-29.718399999990,-52.515200000000,5.523,5.937,7.908,9.837,11.899,12.968,14.996,14.801,16.976,15.231,17.676,18.191,19.376
Veranópolis,4322806,-28.931200000000,-51.551600000000,9.387,10.213,10.417,13.231,15.400,17.228,17.947,18.248,17.965,19.927,25.050,30.944,34.217
"Vespasiano Correa",4322855,-29.065500000000,-51.862500000000,4.300,5.615,6.280,8.031,10.963,12.671,12.139,13.510,19.421,20.469,20.360,22.396,25.799
Viadutos,4322905,-27.571600000000,-52.021099999990,3.192,4.023,4.334,4.802,6.676,6.838,6.274,7.111,9.299,10.333,10.269,12.528,15.031
Viamão,4323002,-30.081900000000,-51.019399999990,2.839,2.964,3.262,3.877,4.456,4.848,5.180,5.432,6.052,6.419,7.121,9.240,9.218
"Vicente Dutra",4323101,-27.160799999990,-53.402200000000,3.591,3.634,4.125,4.720,6.389,6.351,6.687,7.739,8.293,9.924,10.268,10.970,12.182
"Victor Graeff",4323200,-28.563199999990,-52.749499999990,9.060,10.125,11.669,14.084,20.276,16.908,11.353,17.360,23.076,26.609,26.525,26.727,33.141
"Vila Flores",4323309,-28.859800000000,-51.550400000000,5.135,6.243,7.304,8.199,10.551,11.817,13.756,15.321,18.473,20.399,24.762,26.881,28.654
"Vila Lângaro",4323358,-28.106200000000,-52.143799999990,4.514,5.197,6.634,7.129,13.563,12.408,7.739,12.800,16.055,18.245,17.136,20.607,26.279
"Vila Maria",4323408,-28.535900000000,-52.148699999990,5.789,6.503,7.642,9.412,12.476,12.349,12.289,14.406,19.515,23.280,26.004,30.976,39.077
"Vila Nova do Sul",4323457,-30.346100000000,-53.875999999990,3.726,4.023,4.834,5.155,7.248,7.984,8.220,8.355,10.292,10.713,11.151,13.010,13.900
"Vista Alegre",4323507,-27.368600000000,-53.491900000000,3.244,3.781,4.282,4.717,6.585,6.385,7.377,8.333,11.208,12.706,12.954,16.833,15.519
"Vista Alegre do Prata",4323606,-28.805199999990,-51.794600000000,4.176,4.766,7.688,8.552,12.544,10.742,8.380,9.962,12.329,13.749,17.021,23.573,28.621
"Vista Gaúcha",4323705,-27.290199999990,-53.697400000000,3.881,4.395,5.980,6.185,9.567,8.103,8.706,9.957,12.404,14.232,13.565,15.485,17.057
"Vitória das Missões",4323754,-28.351600000000,-54.503999999990,3.442,3.928,4.952,4.759,7.280,6.047,6.156,8.466,11.609,11.931,12.081,15.528,16.447
Westfalia,4323770,-29.374400000000,-51.746299999990,-,-,9.861,11.842,16.601,17.150,19.115,17.979,22.271,20.951,24.273,32.413,40.598
Xangri-lá,4323804,-29.806500000000,-50.051900000000,6.545,6.385,6.672,6.878,8.301,8.972,10.100,10.909,12.167,12.744,13.702,15.115,15.984
