ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
"Campina das Missões",4303707,-27.988800000000,-54.841700000000,4.087,4.388,5.442,6.007,8.153,7.573,7.114,7.956,10.257,10.127,10.697,13.276,14.939
"Campinas do Sul",4303806,-27.717400000000,-52.624800000000,4.999,5.629,7.710,8.942,12.920,12.002,9.003,12.484,15.894,14.966,15.306,18.189,20.134
"Campo Bom",4303905,-29.674700000000,-51.060600000000,12.274,13.836,14.926,15.864,16.805,19.159,19.543,18.738,19.700,19.849,21.447,25.565,24.465
"Campo Novo",4304002,-27.679200000000,-53.805199999990,4.395,4.910,5.746,6.965,9.325,8.308,7.040,9.770,13.300,13.462,13.650,17.231,19.976
"Campos Borges",4304101,-28.887100000000,-53.000799999990,3.877,4.117,5.661,6.315,8.881,7.302,5.797,7.552,9.871,12.274,12.790,12.819,15.497
Candelária,4304200,-29.668399999990,-52.789499999990,3.943,4.412,5.456,6.265,7.237,8.080,7.925,9.029,10.325,11.098,13.637,13.014,13.500
"Cândido Godói",4304309,-27.951499999990,-54.751700000000,4.286,5.056,6.270,7.229,10.062,9.150,8.750,11.120,13.164,13.427,14.327,17.296,19.902
Candiota,4304358,-31.551500000000,-53.677300000000,10.723,11.043,16.279,16.785,18.554,24.449,26.981,23.747,27.960,24.536,26.279,36.085,38.218
Canela,4304408,-29.356000000000,-50.811900000000,4.132,4.501,4.826,5.377,5.950,6.462,7.009,7.194,8.206,8.217,9.010,11.014,11.659
Canguçu,4304507,-31.396000000000,-52.678199999990,3.375,3.473,4.249,4.827,6.218,6.657,6.827,7.679,8.648,8.505,9.784,11.220,11.735
Canoas,4304606,-29.912800000000,-51.185699999990,13.143,15.694,18.790,18.798,22.887,26.690,26.940,28.790,32.971,44.811,48.899,55.605,47.711
"Canudos do Vale",4304614,-29.318700000000,-52.234499999990,-,-,4.446,5.062,5.706,6.821,6.001,7.344,10.704,10.100,10.768,13.841,18.644
"Capão Bonito do Sul",4304622,-29.764199999990,-50.028199999990,-,-,8.704,9.809,15.867,14.916,9.306,18.878,25.498,31.667,26.069,41.417,42.391
"Capão da Canoa",4304630,-29.639700000000,-49.959899999990,5.025,5.017,5.512,5.834,6.867,7.576,8.316,8.923,10.411,10.401,11.267,13.341,13.902
"Capão do Cipó",4304655,-28.904000000000,-54.700000000000,-,-,10.015,10.633,27.445,14.688,9.193,21.175,28.686,31.758,30.999,36.790,46.236
"Capão do Leão",4304663,-31.756499999990,-52.488900000000,4.522,4.884,5.219,5.535,6.210,7.131,7.779,8.928,11.842,13.215,12.719,14.884,14.723
"Capela de Santana",4304689,-29.696100000000,-51.328000000000,3.725,4.160,4.432,4.868,5.916,6.111,5.970,6.045,7.074,7.040,7.812,9.168,9.056
Capitão,4304697,-29.267399999990,-51.985300000000,3.852,4.193,5.349,5.942,9.622,8.258,8.829,8.287,12.252,13.068,11.876,15.788,21.448
"Capivari do Sul",4304671,-30.138200000000,-50.515099999990,9.272,9.903,11.933,14.634,19.042,23.028,17.890,18.609,22.799,29.275,32.902,36.374,30.353
Caraá,4304713,-29.786899999990,-50.431600000000,2.534,2.531,2.976,3.313,3.845,4.080,4.186,4.784,4.818,5.025,5.730,7.017,7.285
Carazinho,4304705,-28.295800000000,-52.793300000000,6.052,6.867,7.578,8.787,10.887,10.756,10.199,12.163,14.984,15.734,15.261,20.113,21.932
"Carlos Barbosa",4304804,-29.296900000000,-51.502899999990,11.029,12.374,13.531,15.669,18.842,21.810,23.907,25.073,26.352,23.423,28.481,34.448,36.977
"Carlos Gomes",4304853,-27.716699999990,-51.912100000000,3.193,3.753,4.334,5.128,6.622,6.305,5.643,7.573,9.646,10.980,11.762,14.082,15.459
Casca,4304903,-28.560500000000,-51.981499999990,6.797,7.513,8.298,10.572,12.250,12.878,13.413,15.690,19.878,22.834,23.425,28.268,30.821
Caseiros,4304952,-28.258199999990,-51.686100000000,4.504,5.376,5.892,6.574,10.183,9.892,7.625,10.860,11.204,14.240,14.043,17.089,17.483
