"Município","ibge","latitude","longitude","/Transportes/Número de Acidentes Fatais/Total 2007 (-)","/Transportes/Número de Acidentes Fatais/Total 2008 (-)","/Transportes/Número de Acidentes Fatais/Total 2009 (-)","/Transportes/Número de Acidentes Fatais/Total 2010 (-)","/Transportes/Número de Acidentes Fatais/Total 2011 (-)","/Transportes/Número de Acidentes Fatais/Total 2012 (-)","/Transportes/Número de Acidentes Fatais/Total 2013 (-)"
"General Câmara","4308805","-29.903199999990","-51.761200000000","-","1","1","2","-","3","-"
"Gentil","4308854","-28.431600000000","-52.033700000000","-","1","-","-","-","1","-"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","5","3","2","6","4","6","4"
"Giruá","4309001","-28.029699999990","-54.351700000000","2","1","3","3","2","6","1"
"Glorinha","4309050","-29.879799999990","-50.773400000000","2","-","-","6","2","1","3"
"Gramado","4309100","-29.373300000000","-50.876199999990","5","4","5","4","7","8","8"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","-","-","-","-","1","2","2"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","-","1","1","1","2","-","1"
"Gravataí","4309209","-29.941299999990","-50.986899999990","31","34","46","31","36","45","53"
"Guabiju","4309258","-28.542100000000","-51.694800000000","-","-","-","-","1","-","1"
"Guaíba","4309308","-30.108599999990","-51.323300000000","11","20","13","14","12","14","14"
"Guaporé","4309407","-28.839900000000","-51.889499999990","1","4","4","5","-","6","6"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","1","-","6","2","3","1","3"
"Harmonia","4309555","-29.545600000000","-51.418500000000","-","2","1","-","1","-","1"
"Herval","4307104","-32.024000000000","-53.394399999990","-","1","-","-","-","-","-"
"Herveiras","4309571","-29.455200000000","-52.655299999990","-","-","-","1","2","1","2"
"Horizontina","4309605","-27.628200000000","-54.305300000000","2","1","1","2","2","8","-"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","1","-","-","1","-","-","1"
"Humaitá","4309704","-27.569099999990","-53.969499999990","2","1","1","-","-","1","-"
"Ibarama","4309753","-29.420300000000","-53.129500000000","-","2","-","-","-","-","-"
"Ibiaçá","4309803","-28.056600000000","-51.859900000000","2","4","2","1","1","3","1"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","1","2","2","1","2","2","3"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","1","-","1","1","-","-","2"
